Sox17	K04495
Gm24967	K14280
Gm23138	K14280
Gm25827	K14280
Gm22345	K14280
Nrd1	K01411
Rnf11	K11980
Gm12816	K02925
Faah	K15528
Gm12854	K23765
Gm25137	K14280
Tesk2	K08842
Tctex1d4	K25420
Rps8	K02995
Snord55	K26308
Gm26330	K14889
Lao1	K03334
Ermap	K28628
Cldn19	K06087
Foxo6	K17847
Ctps	K01937
Kcnq4	K04929
Nfyc	K08066
Zfp69	K09228
Gm23540	K14276
Rlf	K17636
Cap1	K17261
Pabpc4	K13126
Gm25788	K27150
Gm22154	K27150
Ndufs5	K03938
Lsm10	K25591
Gm25323	K14280
Col8a2	K23455
Gm25600	K14280
Gm24161	K26326
Gm25604	K26326
Zfp362	K23480
Hpca	K23846
Yars	K01866
Spocd1	K17596
Gm24091	K27124
Gm23711	K27124
Snora16a	K14927
Snora16a	K14927
Gm24762	K14280
Eya3	K17621
Gm25270	K14278
Cnksr1	K23783
Man1c1	K01230
Gm23834	K26326
Cdc42	K04393
Sh2d5	K23701
Ddost	K12670
Pla2g2c	K01047
Pqlc2	K23678
Iffo2	K28738
Crocc	K16469
Gm22039	K26326
Vps13d	K19527
Gm13212	K09228
Gm13144	K02942
Mthfr	K25004
Gm24002	K14280
Gm23318	K14280
Angptl7	K25358
Srm	K08895
Pgd	K04332
Gm23405	K14276
Arhgef16	K20688
Gabrd	K05184
1700109H08Rik	K27179
Gm22573	K14280
Gm25982	K14280
Mterf1b	K15031
Cldn12	K06087
Gm24525	K28310
Gm23993	K26342
Gm25335	K14280
Gm23570	K14280
Gm25761	K26326
Psmc2	K03061
Gm22887	K14280
Fam126a	K21844
Nupl2	K14321
Nos3	K18761
Crygn	K23483
Nub1	K11278
Otof	K19949
Fam166c	K28112
Khk	K00846
Preb	K14003
Depdc5	K20404
Ywhah	K16198
Slbp	K18710
Add1	K18622
Cpz	K13022
Gm24878	K14280
Wfs1	K14020
Evc	K19605
Cckar	K04194
Stim2	K18196
Pcdh7	K16498
Rell1	K26541
Pgm2	K01835
Tlr1	K05398
Tlr6	K10169
Rfc1	K14609
Rpl9	K02940
Gm22929	K14280
Zar1	K18762
Tec	K07364
Nmu	K05249
Ugt2a1	K00699
Ambn	K23442
Gm15682	K02889
Dck	K00893
Gm25758	K26326
Cox18	K17797
Ppef2	K13807
Gm25290	K28340
Gm25521	K14280
Gm22915	K14879
Ccng2	K10146
Gm24279	K26326
Tmem150c	K21846
Lin54	K21776
Gm24897	K14280
Dmp1	K21625
Pkd2	K06070
Gbp9	K20908
Gbp4	K20899
Gbp10	K20908
Rps15a-ps5	K02957
Rpap2	K20827
Gm22270	K26358
Gm26387	K26358
Snord21	K26293
Mfsd7a	K12306
Gm35315	K09228
Pole	K02324
Gm26079	K28338
Gm22583	K14280
Noc4l	K14771
Gm22716	K14280
Mn1	K22543
Cryba4	K23482
Gm43247	K02889
Crybb3	K23482
Dao	K11182
Ube3b	K10588
Unc119b	K23539
Ksr2	K17536
Gm26411	K14280
Gm25076	K26326
Sds	K14574
Gm24671	K14276
Gm26205	K26320
Ppp1cc	K06269
Orai1	K17599
Wdr66	K24228
Tmem120b	K26608
Gm23458	K14276
2810006K23Rik	K23498
Rilpl2	K25403
Ubc	K08770
Ran	K07936
Gm6139	K02981
Gm23245	K26329
Nupr1l	K25793
Asl	K01756
Crcp	K25304
Eln	K26468
Lat2	K13781
Bcl7b	K25605
Trim50	K12024
Trip6	K12792
Muc3a	K22018
Ache	K01049
Epo	K05437
Irs3	K17445
Sap25	K19193
Map11	K24261
Gm26285	K14280
Gm4869	K26157
Lfng	K05948
Rbak	K09228
Grid2ip	K26413
Ccz1	K27045
Gm6272	K02980
Trrap	K08874
Gm23995	K14879
Cyp3a41b	K07424
Atp5j2	K02130
Cdk8	K02208
Gm23202	K26333
Gm25091	K27123
Katnal1	K07767
Gm25284	K14278
Hepacam2	K28132
Pdk4	K00898
Asns	K01953
Mios	K20407
Gm26075	K28342
Met	K25093
Cav2	K12958
Arf5	K07940
Smo	K12259
Cpa2	K01298
Klf14	K09196
Bpgm	K01837
Npn2	K06819
Gm23231	K14280
Gm23010	K26326
Rab19	K17047
Adck2	K08869
Gm5771	K01312
Gm24611	K14280
Olfr458	K04257
Olfr457	K04257
Olfr456	K04257
Tpk1	K00949
Zfp956	K09228
Cycs	K08738
Gm25818	K14276
Gm24355	K26337
Pde1c	K13755
Gm23346	K14923
Krcc1	K29003
Ggcx	K10106
Gm24533	K14908
Gm5576	K13025
Dok1	K06717
Wbp1	K24775
Rtkn	K24024
Aup1	K19716
Paip2b	K27470
Emx1	K09317
Nat8f3	K20838
Ptges3-ps	K15730
Hdac11	K11418
Xpc	K10838
Grip2	K20251
Magi1	K23784
Gm23035	K14280
Gm22840	K26340
Gm26011	K14280
Gm26175	K26338
Gm25852	K28334
Gm23510	K14276
Mitf	K22454
Gpr27	K04301
Gm24784	K28308
Gm6749	K11253
Srgap3	K07526
Gm22591	K14280
Rpusd3	K22537
Tsen2	K15322
Tmcc1	K28793
Gm23527	K26326
Olfr211	K04257
Rassf4	K23687
Gemin6-ps	K13134
Gm23908	K26326
Ninj2	K28236
Gm24592	K14280
Tuba8	K07374
Gm10224	K02877
Gm10420	K02981
Gm23547	K27157
Rnu7	K28308
Gm23851	K14280
Gm24947	K14280
Gm24175	K14879
Gm22362	K14879
Gpr19	K04316
Gprc5d	K04621
Gm22881	K26326
Gsg1	K28850
Rerg	K07855
Eps8	K17277
Pyroxd1	K24426
Lrmp	K28811
Gm23462	K14280
Gm22578	K14280
Cacng8	K04873
Cacng7	K04872
Tmc4	K21988
Leng8	K23802
Gm23741	K14276
Zfp78	K09228
Olfr1344	K04257
Zim1	K09228
Zfp772	K09228
Vmn2r33	K04613
Vmn2r31	K04613
Gm3972	K04613
Zik1	K09228
Vmn2r55	K04613
Zfp110	K09228
Rps5	K02989
Cabp5	K23531
Gm26325	K14280
Ehd2	K12476
Gm26473	K26387
Ap2s1	K11827
Gm25815	K14280
Ccdc8	K17561
Gpr4	K04312
Fosb	K09029
Gm25134	K14276
Vasp	K06274
Zfp111	K09228
Zfp109	K09228
Zfp108	K09228
Zfp61	K09228
Zfp94	K09228
Gm44805	K22287
Erf	K09434
Cyp2b13	K07412
Blvrb	K05901
Rps16	K02960
Samd4b	K27396
Rasgrp4	K12363
Ggn	K26807
Actn4	K05699
Ech1	K12663
Zfp940	K09228
Gm25259	K14277
Aplp1	K05639
Atp4a	K01542
Gm29627	K02893
Wtip	K16682
Scn1b	K04845
Kctd15	K21754
Gm25922	K26326
Lrp3	K20050
1600014C10Rik	K23168
AI987944	K09228
AW146154	K09228
Zfp141	K09228
Zfp658	K09228
Gm26247	K14917
Gm23991	K14917
Mybpc2	K12558
Myh14	K24220
Vrk3	K08816
Shank1	K15009
Tbc1d17	K19945
Med25	K15149
Rps11	K02949
Bax	K02159
Dbp	K09056
Ccdc114	K23732
Saa2	K17310
Gm22969	K14280
4933405O20Rik	K00030
Gm24116	K14280
Gm25988	K26386
Gm25221	K26386
Gm26389	K26386
Gm23471	K26386
Gm24418	K26386
Gm24639	K26386
Gm22111	K26386
Gm25088	K26386
Gm23076	K26386
Gm25077	K26386
Gm25648	K26386
Gm26488	K26386
Gm24220	K26386
Gm26230	K26386
Gm23933	K26386
Gm24088	K26386
Gm25463	K26386
Gm23356	K26386
Gm25449	K26386
Gm24862	K26386
Gm26466	K26386
Gm26498	K26386
Gm23862	K27135
Gm22285	K27135
Gm24153	K27135
Gm24609	K27135
Gm22584	K27135
Gm23265	K27135
Gm24518	K27135
Gm23953	K27135
Gm26332	K27135
Gm26032	K27135
Gm22046	K27135
Gm24760	K27135
Gm25350	K27135
Gm23313	K27135
Gm25210	K27135
Gm22128	K27135
Gm22631	K27135
Gm22941	K27135
Gm25597	K27135
Gm22258	K27135
Gm22812	K27135
Gm26433	K27135
Snord116l17	K27135
Gm25615	K27135
Snord116l16	K27135
Snord116l15	K27135
Snord116l14	K27135
Snord116l13	K27135
Snord116l8	K27135
Snord116l7	K27135
Snord116l6	K27135
Snord116l5	K27135
Snord116l4	K27135
Snord116l3	K27135
Snord116l11	K27135
Gm25870	K26386
Gm26365	K27135
Gm22131	K27135
Snurf	K22651
Snord107	K27126
Gm23431	K14280
Mtmr10	K18085
Tarsl2	K01868
Lrrk1	K26117
Adamts17	K08631
Fanci	K10895
Rhcg	K06580
Kif7	K18806
Vps33b	K23281
Ngrn	K23496
Blm	K10901
Ndufab1-ps	K03955
Unc45a	K21991
Rps17	K02962
3110040N11Rik	K09131
Gm25790	K14280
Vmn2r76	K04613
Nox4	K21423
Gm24249	K28308
Gm24552	K14280
Nars2	K01893
Neu3	K12357
C2cd3	K16751
Chrna10	K04811
Olfr543	K04257
Olfr560	K04257
Olfr624	K04257
Olfr66	K04257
Gm24846	K14280
Olfr68	K04257
Olfr67	K04257
Olfr671	K04257
Olfr689	K04257
Olfr691	K04257
Cnga4	K04951
Fam160a2	K26420
Hpx	K14736
Olfr710	K04257
Syt9	K19909
Olfr469	K04257
Olfr470	K04257
Olfr479	K04257
Olfr481	K04257
Olfr482	K04257
Gm25450	K14280
Gm24888	K14914
Gm25636	K14930
Ampd3	K01490
Gm23262	K27118
Gm24154	K26326
Cyp2r1	K07419
Gm25683	K26344
Gm26147	K26331
Crym	K18258
Gm9234	K03767
Otoa	K25029
Usp31	K11858
Scnn1b	K04825
Palb2	K10897
Cacng3	K04868
Gm25759	K26326
Gtf3c1	K15199
Cd19	K06465
Gm24596	K14280
Cln3	K12389
9130019O22Rik	K09228
E430018J23Rik	K09228
Fam57b	K26600
Doc2a	K19916
Armc5	K22499
Hsd3b7	K12408
Bckdk	K00905
Wdr11	K11797
Gm15483	K02953
Gm24581	K26326
Ate1	K00685
Bub3	K02180
Inpp5a	K01106
Msx3	K09341
Paox	K00232
Olfr524	K04257
Olfr535	K04257
Olfr539	K04257
Zfp941	K09228
Phrf1	K17586
Irf7	K09447
Muc6	K22023
Sct	K05263
Gm25725	K26326
Taldo1	K00616
Gm25416	K14280
Th	K00501
Cars	K01883
Gm23297	K14931
Dhcr7	K00213
Zfp958	K09228
Gm24698	K14914
Myom2	K24495
Defb7	K23125
Nek3	K20873
Vdac3	K15041
Adam32	K16070
Ash2l	K14964
Gm24992	K14879
Tti2	K23115
Wrn	K10900
Gm24727	K26342
Rps12-ps24	K02951
Slc7a2	K13865
Mtmr7	K18083
Pcm1	K11589
Frg1	K13122
Tlr3	K05401
Gm23604	K26326
Aga	K01444
Spcs3	K12948
Glra3	K05195
Galnt7	K00710
Gm25379	K28342
Scrg1	K25735
Gm15881	K28658
Gm10015	K04552
Gm23515	K14280
Gm26123	K26320
Gm24205	K14280
Nat2	K00622
Gm22018	K26326
Lpl	K01059
Zfp930	K09228
Zfp963	K09228
Tm6sf2	K25361
Homer3	K15010
Lsm4	K12623
Rab3a	K07882
Rpl18a	K02883
Olfr373	K04257
Myo9b	K10360
Gm35857	K18194
Tom1	K26401
Gm24838	K26326
Arhgap10	K20315
Gab1	K09593
Olfr370	K04257
Samd1	K26266
Rfx1	K09173
Ccdc130	K13115
Trmt1	K21027
Asna1	K01551
Gm25506	K26299
Gm5741	K04347
Junb	K09028
Phkb	K07190
Gm22305	K14280
Cbln1	K24235
Adcy7	K08047
Irx6	K24889
Mt2	K04286
Tepp	K25742
Kifc3	K10406
Usb1	K23093
Dok4	K24037
Setd6	K12365
Gm26493	K26341
Gm22148	K14280
Cdh16	K06810
Gm22063	K14280
Lrrc29	K10275
Lrrc36	K16594
Ctcf	K23195
Acd	K11114
Gm45855	K02981
Edc4	K12616
Has3	K00752
Gm22085	K14280
Cog8	K20295
Pkd1l3	K04989
Gm25321	K14280
Gm22193	K27130
Gm26132	K28340
Rfwd3	K15691
Gm23677	K14280
Hsd17b2	K13368
Gm24035	K14280
Klhl36	K13958
Disc1	K16534
Gm26397	K14916
Gm38574	K10802
Fam92b	K23868
Fbxo31	K10292
Gm24283	K14280
Aprt	K00759
Gm24445	K14280
Cpne7	K24525
Cdk10	K02449
n-R5s107	K01981
Galnt2	K00710
Acsf3	K18660
Gm24918	K26331
Casp12	K04741
Gm26189	K14280
Panx1	K03443
4931406C07Rik	K28954
Gm24299	K27198
Gm22620	K14918
Gm24339	K27168
Gm24455	K26327
Gm22579	K26332
Gm25791	K26323
Gm24357	K27199
Olfr24	K04257
Olfr77	K04257
Olfr18	K04257
Gm23316	K14280
Gm46142	K02889
Col5a3	K19721
Rdh8	K13369
Gm23008	K27125
Gm24067	K27125
Kri1	K14786
Tmem205	K28436
Epor	K05079
Zfp810	K09228
Gm25346	K26326
Glb1l2	K25543
Adamts15	K08629
Gm22060	K14280
Gm24262	K26342
Gm25630	K14276
Srpr	K13431
Olfr877	K04257
Olfr145	K04257
Olfr878	K04257
Olfr889	K04257
Olfr250	K04257
Olfr920	K04257
Gm24278	K26326
Olfr958	K04257
Olfr959	K04257
Snord14e	K14865
Mfrp	K24212
Gm26306	K14926
Gm22540	K14280
Ttc36	K24941
Atp5l	K02140
Gm22069	K14280
Nnmt	K00541
Gm25558	K14280
Fdx1	K22070
Rdx	K05762
Gm22304	K26345
Wdr61	K12602
Nrg4	K05458
Rpp25	K14525
Lman1l	K15295
Clk3	K08823
Stra6	K23088
Pml	K13360
Hcn4	K04956
Gm20620	K02980
Gm25995	K14278
Dis3l	K18681
Gm23344	K14866
Gm22571	K14866
Gm23136	K14906
Gm22455	K14866
Uchl4	K05609
Slc24a1	K13749
Rab11a	K07904
Gm25313	K14279
Gm23248	K14280
Gm22657	K26326
Snx1	K17917
Dapk2	K08803
Usp3	K11986
Gm23428	K14280
Aph1c	K06172
Gm24615	K14933
Mns1	K25441
Gm23567	K14280
Hmgcll1	K01640
Col12a1	K08132
Ddx43	K17043
Eef1a1	K03231
Mei4	K10639
Phip	K04237
Gm22830	K26345
Ube2cbp	K20803
Gm29163	K14280
Elovl4	K10249
Gm22138	K26326
Mrap2	K25968
Snord50b	K26305
Snord50a	K26305
Gm23017	K26305
Gm26082	K26326
Gm26135	K26305
Zic4	K09225
Plscr2	K27888
Plscr4	K27888
Ctsh	K01366
Gm25582	K26321
Pls1	K17275
Atr	K06640
Copb2	K17302
Dbr1	K18328
Ppp2r3a	K11583
Gm24338	K26331
Gm22595	K26326
Srprb	K12272
Trf	K05253
Gm22454	K14280
Gm23595	K26326
Hyal2	K01197
Apeh	K01303
Bsn	K27927
Ccdc36	K26085
Lamb2	K05635
Gm24259	K14280
Gm23034	K26334
Qars	K01886
Wdr6	K24737
Col7a1	K16628
Trex1	K10790
Camp	K08514
Gm23377	K26326
Kif9	K10397
Tdgf1	K25455
Stac	K23711
Ccr4	K12603
Gm10157	K03113
Plcd1	K05857
Acaa1b	K07513
Myd88	K04729
Xylb	K00854
Gm24044	K14910
Gm26448	K14908
Cck	K05226
Zfp651	K10518
Gm39469	K09228
Nudt11	K07766
Nudt10	K07766
Syp	K07293
1810030O07Rik	K29056
AA414768	K10582
mt-Rnr1	K26191
Gpr82	K08420
Drr1	K28168
Agtr2	K04167
Gm2892	K27702
Gm26065	K14280
Gm25047	K14280
Gm23613	K26338
Akap14	K16530
Gm24763	K14277
Hprt	K00760
Gm23258	K14280
Gm22287	K14280
Ids	K01136
Mtmr1	K18081
Gabre	K05185
Gm23461	K14280
Gabrq	K05192
Gm14685	K23386
DXBay18	K23386
Zfp92	K09228
Trex2	K10791
Idh3g	K00030
Gm23615	K14887
Tktl1	K00615
Gm5640	K23386
Gm5936	K23386
Gm25629	K14280
Dkc1	K11131
Gm25520	K26338
Taz	K13511
Gm25421	K14276
Pls3	K17336
5430427O19Rik	K28775
Gm22580	K14280
Gspt2	K03267
Msn	K05763
Pgr15l	K04210
Rpl17-ps8	K02880
Ar	K18914
Gm14816	K02922
Tmem28	K28469
Arr3	K04439
Gm24061	K26362
Dmrtc1c2	K19494
Gm26020	K14277
Gm23656	K14280
Rps12-ps11	K02951
Rps12-ps12	K02951
Rps12-ps18	K02951
Rps12-ps13	K02951
Rps12-ps14	K02951
Rps12-ps16	K02951
Rps12-ps15	K02951
Rpl36a	K02929
Armcx6	K26190
Armcx5	K26233
Bex4	K28470
Glra4	K05271
Gm22057	K14280
Il1rapl2	K05170
Gm23199	K14280
Psmd10	K06694
Col4a6	K06237
Col4a5	K06237
Capn6	K08575
Gm25107	K28336
Gm24907	K14925
Gnl3l	K14538
Gm24460	K26321
Usp51	K11366
Rragb	K16185
Sat1	K14700
Gm25795	K26326
Yy2	K09201
Gm23794	K14280
Rnf138rt1	K10668
Pir	K06512
Gm22023	K26326
Fancb	K10889
Glra2	K05194
Tlr7	K05404
Mid1	K03652
Gm25651	K28339
Gm20826	K27702
Nms	K25690
Gm23974	K27150
n-R5s211	K01981
Gm25829	K14280
Gm22371	K26326
Cd28	K06470
Gm5528	K02889
Gm25360	K14277
Gm23472	K14277
Olfr1414	K04257
Olfr1413	K04257
Olfr1412	K04257
Olfr1411	K04257
Olfr1410	K04257
Olfr12	K04257
Gm7133	K14357
Gm7135	K14357
Gm22034	K26326
Gm22331	K26360
Fcamr	K16851
Pigr	K13073
Gm7241	K16750
Gm24517	K14280
Pkp1	K10387
Gm26271	K14280
Rgs13	K16449
Rgs18	K16449
Rbm3-ps	K13186
Fmo6	K00485
Fmo3	K00485
Crp	K16143
Olfr16	K04257
Olfr1408	K04257
Olfr1406	K04257
Olfr433	K04257
Olfr432	K04257
Olfr430	K04257
Olfr427	K04257
Olfr424	K04257
Olfr414	K04257
9130409I23Rik	K04712
Gm23877	K26360
Entpd8	K01510
Olfr339	K04257
Olfr340	K04257
Olfr341	K04257
Olfr342	K04257
Olfr346	K04257
Olfr50	K04257
Olfr350	K04257
Olfr351	K04257
Olfr352	K04257
Olfr353	K04257
Olfr354	K04257
Olfr355	K04257
Olfr357	K04257
Olfr358	K04257
Olfr360	K04257
Olfr361	K04257
Olfr367-ps	K04257
Gm24467	K26326
Gm25215	K28399
Eif1-ps3	K03113
Gm25420	K26326
Fsip2	K26675
Prg2	K19582
Olfr987	K04257
Olfr988	K04257
Olfr995	K04257
Olfr998	K04257
Olfr1001-ps1	K04257
Olfr1009	K04257
Olfr1012	K04257
Olfr1013	K04257
Olfr1014	K04257
Olfr1016	K04257
Olfr1018	K04257
Olfr1019	K04257
Olfr1020	K04257
Olfr1025-ps1	K04257
Olfr1029	K04257
Olfr1030	K04257
Olfr1032	K04257
Olfr1036	K04257
Olfr1040	K04257
Olfr1042	K04257
Olfr1043	K04257
Olfr1044	K04257
Olfr1045	K04257
Olfr1046	K04257
Olfr1047	K04257
Olfr1048	K04257
Olfr1049	K04257
Olfr1051	K04257
Olfr1052	K04257
Olfr1057	K04257
Olfr1058	K04257
Olfr1062	K04257
Olfr1065	K04257
Olfr1066	K04257
Olfr1077-ps1	K04257
Olfr1079	K04257
Olfr1080	K04257
Olfr1085	K04257
Olfr1087	K04257
Olfr1090	K04257
Olfr1093	K04257
Olfr141	K04257
Olfr1097	K04257
Olfr1099	K04257
Olfr1102	K04257
Olfr1107	K04257
Olfr1109	K04257
Olfr259	K04257
Olfr1121	K04257
Olfr1122	K04257
Olfr1123	K04257
Olfr1126	K04257
Olfr1130	K04257
Olfr1132	K04257
Olfr1135	K04257
Olfr1136	K04257
Olfr1138	K04257
Olfr1140	K04257
Olfr1145	K04257
Olfr1148	K04257
Olfr1151	K04257
Olfr1152	K04257
Olfr1154	K04257
Olfr1157	K04257
Olfr1158	K04257
Olfr1160	K04257
Olfr1161	K04257
Olfr1162	K04257
Olfr1165-ps	K04257
Olfr1167	K04257
Olfr1168	K04257
Olfr1170	K04257
Olfr1173	K04257
Olfr1179	K04257
Olfr1180	K04257
Olfr1181	K04257
Olfr1183	K04257
Olfr1184	K04257
Olfr1186	K04257
Olfr1188	K04257
Olfr1189	K04257
Olfr475-ps1	K04257
Olfr1195	K04257
Olfr1197	K04257
Olfr1198	K04257
Olfr1200	K04257
Olfr1201	K04257
Olfr1202	K04257
Olfr1204	K04257
Olfr1208	K04257
Olfr1209	K04257
Olfr1211	K04257
Olfr1212	K04257
Olfr1215	K04257
Olfr1216	K04257
Olfr1217	K04257
Olfr1218	K04257
Olfr1219	K04257
Olfr1220	K04257
Olfr1222	K04257
Olfr1223	K04257
Olfr1225	K04257
Olfr1226	K04257
Olfr1228	K04257
Olfr1231	K04257
Olfr1232	K04257
Olfr1233	K04257
Olfr1234	K04257
Olfr1238	K04257
Olfr1242	K04257
Olfr1243	K04257
Olfr1245	K04257
Olfr1247	K04257
Olfr1250	K04257
Olfr1251	K04257
Olfr1252	K04257
Olfr1255	K04257
Olfr1256	K04257
Olfr48	K04257
Olfr1257	K04257
Olfr1258	K04257
Olfr1259	K04257
Olfr1263	K04257
Olfr1265	K04257
Olfr1267-ps1	K04257
Olfr1269	K04257
Olfr32	K04257
Olfr1270	K04257
Olfr1506	K04257
Olfr1271	K04257
Olfr1273-ps	K04257
Olfr1565	K04257
Gm26396	K26326
Gm22439	K26326
Gm23749	K26326
Olfr1275	K04257
Olfr1276	K04257
Olfr1277	K04257
Olfr1278	K04257
Olfr1280	K04257
Olfr1281	K04257
Olfr1284	K04257
Olfr1286	K04257
Olfr1293-ps	K04257
Olfr1294	K04257
Olfr1297	K04257
Olfr1298	K04257
Olfr1299	K04257
Olfr1300-ps1	K04257
Olfr1301	K04257
Olfr1302	K04257
Gm26421	K26326
Olfr1305	K04257
Olfr1306	K04257
Olfr1309	K04257
Olfr1310	K04257
Olfr1311	K04257
Olfr1312	K04257
Olfr1313	K04257
Olfr1314	K04257
Olfr1316	K04257
Olfr1317	K04257
Olfr1318	K04257
Rps12-ps10	K02951
Gm24665	K26326
AU015228	K03136
Gm25258	K14280
Zfp345	K09228
R3hdml	K25726
Gm14496	K04613
Mycs	K09112
Ccnb3	K21771
Gm23082	K14879
Ssxb5	K15624
Gm6829	K25777
Spin2f	K27702
Spin2e	K27702
Gm5923	K27702
Gm2854	K27702
Spin2g	K27702
Gm14577	K02978
Gpr119	K08424
Olfr1320	K04257
Olfr1322	K04257
Olfr1323	K04257
Gm22288	K14280
Olfr1324	K04257
Usp26	K11850
Atf1-ps	K09053
Gm364	K17086
4930550L24Rik	K24127
Gm5637	K05757
Olfr1326-ps1	K04257
4932429P05Rik	K17491
Gm14781	K24127
Gm26108	K14277
Astx3	K27391
Cldn2	K06087
Pih1h3b	K24253
Itih5l-ps	K24516
n-R5s13	K01981
Gm15266	K07342
Gm5396	K10802
Gm25429	K26326
Gm24281	K26326
Gm22746	K14280
Tlr8	K10170
Gm9733	K06551
Gm24963	K26342
Gm24780	K26342
Gm25696	K14280
n-R5s195	K01981
Gm23337	K14280
Gm26081	K26326
Gm24851	K14280
Gm22269	K26326
Vmn2r2	K04613
Gm23484	K26326
Gm26204	K14280
Sprr2b	K28331
Sprr2g	K28331
Sprr1b	K28331
Flg	K10384
Tdpoz4	K10523
Tdpoz5	K10523
Gm24830	K14276
Gm25890	K14276
Gm22614	K14276
Mab21l3	K23092
Gm26091	K14280
Olfr266	K04257
Prok1	K24191
Gm24456	K14280
Gm9372	K02973
Rrh	K04253
Cfi	K01333
Gm26107	K14280
Clca1	K05030
Clca2	K05030
Gm22473	K26326
Gm24152	K14276
n-TSaga9	K14233
Prdm13	K24645
Cga	K19990
Gm23607	K26326
Gm24376	K26326
Acnat1	K00659
Gm25485	K26326
Gm22042	K14276
Olfr275	K04257
Olfr273	K04257
Olfr272	K04257
Kif12	K10399
Gm25480	K26359
Gm25653	K26326
Gm25769	K26326
Gm26490	K26326
Gm12643	K02975
Gm23443	K26345
Gm25004	K14276
Cyp2j5	K07418
Ube2u	K10584
Gm25124	K14276
Zyg11a	K10350
Gm24099	K14280
Cyp4a14	K07425
Cyp4a31	K07425
Gm23143	K14279
Gm23287	K14279
Olfr1341	K04257
Olfr1340	K04257
Olfr1333	K04257
Olfr1331	K04257
Olfr1330	K04257
Pla2g2e	K01047
Gm25938	K14276
Gm25880	K26326
Gm23822	K26326
Gm22656	K14276
Gm24538	K14280
Gm23896	K26326
Gm25765	K26326
Gnrhr	K04280
Ugt2b34	K00699
Ugt2b36	K00699
Gm7714	K25462
Afp	K16144
Gk2	K18674
Gm25672	K14280
4930428O21Rik	K25611
Foxn4	K09407
Gm24265	K14278
Gm24407	K14278
Tbx5	K10179
Gm4963	K02975
Ocm	K23925
Cyp3a16	K07424
Cyp3a44	K07424
Cyp3a25	K07424
Cyp3a59	K07424
Pdx1	K13997
Gm24242	K14280
Gm24985	K26326
Gm22321	K14280
Gm23273	K26326
Akr1d1	K00251
Olfr461	K04257
Olfr460	K04257
1810009J06Rik	K01312
Olfr459	K04257
Sval3	K25717
Olfr453	K04257
Olfr450	K04257
Olfr449	K04257
Olfr447	K04257
Olfr446	K04257
Olfr441	K04257
Olfr437	K04257
Olfr13	K04257
Gm22939	K26326
Doxl1	K11182
Doxl2	K11182
Gm22910	K26326
Gm24230	K26326
Gm25726	K26326
Gm22622	K26340
n-R5s162	K01981
4930544G11Rik	K04513
Foxi3	K09401
Gm26179	K26326
Gm23924	K14280
Gm22283	K14276
Reg3a	K25727
Reg1	K18668
Gm26264	K14276
Cd207	K06561
Uroc1	K01712
Gm44803	K02980
Gm23002	K14280
Gm44180	K11253
Olfr212	K04257
Olfr213	K04257
Olfr215	K04257
Gm5316	K02970
Gm25891	K26326
Gm25065	K26326
Gm26160	K28308
Klri1	K27939
Gm22621	K14280
Kap	K14167
E330021D16Rik	K10582
Gm5724	K03460
Gm6614	K03460
Gm14548	K06512
Gm24537	K14280
Olfr1336	K04257
Olfr1346	K04257
Olfr5	K04257
Olfr1347	K04257
Olfr1348	K04257
Olfr1349	K04257
Olfr1350	K04257
Vmn2r34	K04613
Vmn2r41	K04613
Vmn2r45	K04613
Vmn2r40	K04613
Vmn2r38	K04613
Gm10302	K04613
Vmn2r49	K04613
Vmn2r51	K04613
Vmn1r88	K04614
Gm24701	K14280
Gm24464	K14280
Cblc	K14618
Vmn1r184	K04614
Cyp2g1	K07417
Cyp2a12	K07411
Gm5116	K02893
Gm5058	K02893
Gm9156	K02893
Gm24505	K26326
Gm24797	K14280
Vmn2r62	K04613
Lim2	K18493
Lim2	K18493
Hrc	K23450
Saa1	K17310
Mrgprb13	K08396
Slc6a5	K05035
Gm23911	K26326
Gm23145	K26386
Gm22130	K26386
Gm23687	K26386
Gm22393	K26386
Gm24566	K26386
Gm24027	K26386
Gm22511	K26386
Gm26283	K26386
Gm22252	K26386
Gm25085	K26386
Gm23682	K26386
Gm24654	K26386
Gm25585	K26386
Gm25089	K26386
Gm24040	K26386
Gm22050	K26386
Gm23286	K26386
Gm24021	K26386
Gm22274	K26386
Gm23618	K26386
Gm23688	K26386
Gm24570	K26386
Gm25194	K26386
Gm22640	K26386
Gm24952	K26386
Gm25087	K26386
Gm22629	K26386
Gm26374	K26386
Gm26284	K26386
Gm25452	K26386
Gm25984	K26386
Ndufs6b	K03939
Gm6155	K03113
Olfr291	K04257
Olfr290	K04257
Vmn2r69	K04613
Olfr310	K04257
Olfr309	K04257
Olfr308	K04257
Olfr305	K04257
Olfr304	K04257
Olfr303	K04257
Olfr301	K04257
Olfr300-ps1	K04257
Olfr299	K04257
Olfr297	K04257
Olfr295	K04257
Olfr294	K04257
Vmn2r78	K04613
Gm25345	K26326
Gm25684	K14280
Gucy2d	K12321
Wnt11	K01384
Olfr547	K04257
Olfr549	K04257
Olfr550	K04257
Olfr551	K04257
Olfr552	K04257
Olfr553	K04257
Olfr554	K04257
Olfr555	K04257
Olfr556	K04257
Olfr557	K04257
Olfr559	K04257
Gm24210	K26326
Olfr562-ps1	K04257
Olfr564	K04257
Olfr566	K04257
Olfr568	K04257
Olfr570	K04257
Olfr575	K04257
Olfr577	K04257
